ticker,name,mcap_eok,mcap_won,cur_prc,shares_outstanding
000080,하이트진로,12000,1200000000000,17110,70134000
000100,유한양행,72957,7295700000000,91600,79648000
000120,CJ대한통운,23063,2306300000000,101100,22812000
000150,두산,258454,25845400000000,1596000,16194000
000210,DL,14983,1498300000000,71500,20956000
000240,한국앤컴퍼니,23686,2368600000000,24950,94935000
000270,기아,592647,59264700000000,151800,390413000
000660,SK하이닉스,9165352,916535200000000,1286000,712702000
000670,영풍,12133,1213300000000,65900,18411000
000720,현대건설,180174,18017400000000,161800,111356000
000810,삼성화재,205825,20582500000000,461000,44647000
000880,한화,94058,9405800000000,133400,70508000
001040,CJ,65502,6550200000000,224500,29177000
001430,세아베스틸지주,27076,2707600000000,75500,35862000
001440,대한전선,104970,10497000000000,56300,186447000
001450,현대해상,25915,2591500000000,30400,85248000
001680,대상,7172,717200000000,20700,34648000
001800,오리온홀딩스,16194,1619400000000,25850,62645000
002030,아세아,5579,557900000000,271000,2059000
002380,KCC,49320,4932000000000,555000,8886000
002790,아모레퍼시픽홀딩스,21294,2129400000000,27850,76458000
002840,미원상사,7211,721100000000,151800,4750000
003030,세아제강지주,9940,994000000000,240000,4142000
003090,대웅,13111,1311100000000,22550,58142000
003230,삼양식품,101018,10101800000000,1341000,7533000
003240,태광산업,13249,1324900000000,1190000,1113000
003490,대한항공,90398,9039800000000,24550,368221000
003550,LG,152834,15283400000000,99100,154222000
003670,포스코퓨처엠,224144,22414400000000,252000,88946000
004000,롯데정밀화학,17905,1790500000000,69400,25800000
004020,현대제철,56781,5678100000000,42550,133446000
004170,신세계,38442,3844200000000,407000,9445000
004370,농심,22962,2296200000000,377500,6083000
004490,세방전지,9148,914800000000,66000,13860000
004990,롯데지주,30447,3044700000000,30550,99664000
005250,녹십자홀딩스,6565,656500000000,13960,47028000
005300,롯데칠성,11357,1135700000000,122400,9279000
005380,현대차,1087264,108726400000000,531000,204758000
005420,코스모화학,6817,681700000000,17750,38408000
005490,POSCO홀딩스,366096,36609600000000,462000,79242000
005830,DB손해보험,109779,10977900000000,167600,65500000
005850,에스엘,29216,2921600000000,62900,46449000
005930,삼성전자,12891044,1289104400000000,220500,5846279000
005940,NH투자증권,119910,11991000000000,33650,356344000
006040,동원산업,17019,1701900000000,38550,44148000
006260,LS,141336,14133600000000,453000,31200000
006280,녹십자,16022,1602200000000,137100,11687000
006360,GS건설,32564,3256400000000,38050,85581000
006400,삼성SDI,560069,56006900000000,695000,80586000
006650,대한유화,11772,1177200000000,181100,6500000
006800,미래에셋증권,362599,36259900000000,64800,559567000
007070,GS리테일,19648,1964800000000,23500,83607000
007310,오뚜기,14649,1464900000000,365500,4008000
007340,DN오토모티브,28114,2811400000000,48050,58511000
007660,이수페타시스,110334,11033400000000,150300,73409000
008730,율촌화학,6386,638600000000,25750,24800000
008770,호텔신라,25708,2570800000000,65500,39248000
008930,한미사이언스,25784,2578400000000,37700,68392000
009150,삼성전기,621452,62145200000000,832000,74694000
009240,한샘,10637,1063700000000,45200,23534000
009420,한올바이오파마,24762,2476200000000,47400,52241000
009540,HD한국조선해양,326618,32661800000000,461500,70773000
009830,한화솔루션,87150,8715000000000,50700,171893000
009970,영원무역홀딩스,28078,2807800000000,208000,13499000
010060,OCI홀딩스,68706,6870600000000,368000,18670000
010120,LS ELECTRIC,417000,41700000000000,278000,150000000
010130,고려아연,329584,32958400000000,1579000,20873000
010140,삼성중공업,284680,28468000000000,32350,880000000
010950,S-Oil,151424,15142400000000,134500,112583000
011070,LG이노텍,135613,13561300000000,573000,23667000
011170,롯데케미칼,48721,4872100000000,113900,42775000
011200,HMM,193364,19336400000000,20500,943238000
011210,현대위아,22490,2249000000000,82700,27195000
011780,금호석유화학,36881,3688100000000,146600,25157000
011790,SKC,44685,4468500000000,118000,37868000
012330,현대모비스,385613,38561300000000,425000,90733000
012450,한화에어로스페이스,730653,73065300000000,1417000,51563000
012750,에스원,32717,3271700000000,86100,37999000
014680,한솔케미칼,32405,3240500000000,285000,11370000
014820,동원시스템즈,8147,814700000000,28100,28991000
015760,한국전력,279575,27957500000000,43550,641964000
016360,삼성증권,95998,9599800000000,107500,89300000
017670,SK텔레콤,204265,20426500000000,95100,214790000
017800,현대엘리베이터,38584,3858400000000,98700,39092000
017960,한국카본,25904,2590400000000,49550,52279000
018260,삼성에스디에스,128602,12860200000000,166200,77378000
018880,한온시스템,43411,4341100000000,4230,1026263000
021240,코웨이,60931,6093100000000,86100,70767000
022100,포스코DX,53060,5306000000000,34900,152035000
023530,롯데쇼핑,38275,3827500000000,135300,28289000
024110,기업은행,180218,18021800000000,22600,797426000
026960,동서,26620,2662000000000,26700,99700000
028050,삼성E&A,104076,10407600000000,53100,196000000
028260,삼성물산,484074,48407400000000,298500,162169000
028670,팬오션,29615,2961500000000,5540,534570000
029780,삼성카드,61753,6175300000000,53300,115859000
030000,제일기획,23066,2306600000000,20050,115041000
030200,KT,153481,15348100000000,60900,252022000
032640,LG유플러스,68085,6808500000000,15840,429828000
032830,삼성생명,499000,49900000000000,249500,200000000
033780,KT&G,204468,20446800000000,178300,114677000
034020,두산에너빌리티,814153,81415300000000,127100,640561000
034220,LG디스플레이,61300,6130000000000,12260,500000000
034230,파라다이스,14682,1468200000000,15850,92629000
034730,SK,308136,30813600000000,425000,72503000
035250,강원랜드,36798,3679800000000,17200,213941000
035420,NAVER,330959,33095900000000,211000,156853000
035720,카카오,209539,20953900000000,47300,443001000
036460,한국가스공사,36094,3609400000000,39100,92313000
036570,NC,58277,5827700000000,270500,21544000
039490,키움증권,104389,10438900000000,398000,26228000
042660,한화오션,403853,40385300000000,131800,306413000
042700,한미반도체,350749,35074900000000,368000,95312000
047040,대우건설,143818,14381800000000,35000,410908000
047050,포스코인터내셔널,153581,15358100000000,87300,175923000
047810,한국항공우주,164733,16473300000000,169000,97475000
051600,한전KPS,27990,2799000000000,62200,45000000
051900,LG생활건강,38868,3886800000000,254000,15302000
051910,LG화학,280252,28025200000000,397000,70592000
052690,한전기술,72083,7208300000000,188600,38220000
055550,신한지주,474180,47418000000000,99900,474654000
062040,산일전기,81438,8143800000000,266000,30616000
064350,현대로템,293047,29304700000000,268500,109142000
064400,LG씨엔에스,62976,6297600000000,65000,96886000
066570,LG전자,229507,22950700000000,140900,162886000
066970,엘앤에프,78754,7875400000000,195100,40366000
068270,셀트리온,444986,44498600000000,200500,221938000
069260,TKG휴켐스,7722,772200000000,18890,40879000
069620,대웅제약,17183,1718300000000,148300,11587000
069960,현대백화점,24643,2464300000000,108900,22629000
071050,한국금융지주,133742,13374200000000,240000,55726000
071320,지역난방공사,8858,885800000000,76500,11579000
071970,HD현대마린엔진,35889,3588900000000,105800,33921000
073240,금호타이어,16719,1671900000000,5820,287260000
078930,GS,76098,7609800000000,81900,92915000
079550,LIG디펜스앤에어로스페이스,207020,20702000000000,941000,22000000
081660,미스토홀딩스,21555,2155500000000,40600,53092000
082740,한화엔진,73433,7343300000000,88000,83447000
086280,현대글로비스,170250,17025000000000,227000,75000000
086790,하나금융지주,350916,35091600000000,127900,274368000
088350,한화생명,42428,4242800000000,4885,868530000
090430,아모레퍼시픽,79141,7914100000000,135300,58493000
093370,후성,14201,1420100000000,13240,107255000
096770,SK이노베이션,247155,24715500000000,146200,169053000
097950,CJ제일제당,37109,3710900000000,246500,15054000
103140,풍산,27800,2780000000000,99200,28024000
105560,KB금융,598425,59842500000000,160500,372850000
111770,영원무역,36734,3673400000000,82900,44311000
112610,씨에스윈드,30195,3019500000000,71600,42171000
114090,GKL,7460,746000000000,12060,61856000
120110,코오롱인더,28179,2817900000000,94100,29946000
128940,한미약품,58931,5893100000000,460000,12811000
137310,에스디바이오센서,10167,1016700000000,8420,120749000
138040,메리츠금융지주,186927,18692700000000,111700,167347000
138930,BNK금융지주,58124,5812400000000,18730,310327000
139130,iM금융지주,30679,3067900000000,19100,160625000
139480,이마트,29445,2944500000000,106700,27596000
161390,한국타이어앤테크놀로지,73334,7333400000000,59200,123875000
161890,한국콜마,20938,2093800000000,88700,23605000
175330,JB금융지주,51393,5139300000000,27300,188254000
180640,한진칼,75241,7524100000000,112700,66762000
185750,종근당,11829,1182900000000,85700,13803000
192080,더블유게임즈,12937,1293700000000,61100,21173000
192820,코스맥스,23891,2389100000000,210500,11350000
204320,HL만도,26813,2681300000000,57100,46957000
207940,삼성바이오로직스,680477,68047700000000,1470000,46291000
241560,두산밥캣,69016,6901600000000,72000,95856000
251270,넷마블,40693,4069300000000,49650,81960000
259960,크래프톤,125632,12563200000000,265000,47408000
267250,HD현대,245274,24527400000000,310500,78993000
267260,HD현대일렉트릭,451310,45131000000000,1252000,36047000
268280,미원에스씨,6125,612500000000,122500,5000000
271560,오리온,56774,5677400000000,143600,39536000
272210,한화시스템,221602,22160200000000,117300,188919000
278470,에이피알,158925,15892500000000,424500,37438000
280360,롯데웰푸드,11268,1126800000000,121100,9305000
282330,BGF리테일,22815,2281500000000,132000,17284000
285130,SK케미칼,10275,1027500000000,59400,17299000
298020,효성티앤씨,22417,2241700000000,518000,4328000
298040,효성중공업,364776,36477600000000,3912000,9325000
298050,HS효성첨단소재,12073,1207300000000,269500,4480000
300720,한일시멘트,12834,1283400000000,17450,73545000
302440,SK바이오사이언스,33776,3377600000000,43050,78457000
307950,현대오토에버,123545,12354500000000,450500,27424000
316140,우리금융지주,244814,24481400000000,33350,734076000
323410,카카오뱅크,116179,11617900000000,24350,477120000
326030,SK바이오팜,78235,7823500000000,99900,78313000
329180,HD현대중공업,718984,71898400000000,685000,104961000
352820,하이브,113359,11335900000000,263000,43102000
361610,SK아이이테크놀로지,21592,2159200000000,26400,81787000
373220,LG에너지솔루션,1077570,107757000000000,460500,234000000
375500,DL이앤씨,38307,3830700000000,99000,38694000
377300,카카오페이,75332,7533200000000,55700,135245000
383220,F&F,25627,2562700000000,66900,38307000
402340,SK스퀘어,1109770,110977000000000,841000,131958000
443060,HD현대마린솔루션,119033,11903300000000,265500,44833000
450080,에코프로머티,56659,5665900000000,80300,70559000
454910,두산로보틱스,71432,7143200000000,110200,64820000
457190,이수스페셜티케미컬,36716,3671600000000,121500,30219000
