ma_n,pct,final_equity,total_return,cagr,mdd,profit_factor,win_rate,n_trades,n_wins,n_losses,avg_pnl,avg_win,avg_loss,payoff_ratio
120,0.05,22761794.469249547,1.2761794469249548,0.1392076563714988,-0.5176425775741913,1.238444779458511,0.5019762845849802,506,254,252,25220.937686263922,260955.74220078642,-212384.77797519913,1.2286932457619872
30,0.05,16470921.672749745,0.6470921672749745,0.08228363230046187,-0.5927769190375954,1.1871520193192808,0.5127272727272727,275,141,134,23530.624264544527,291111.1557393605,-258027.99467537398,1.1282153942466924
60,0.1,15903598.495499855,0.5903598495499855,0.0762890833845411,-0.5176425775741913,1.2753092350429243,0.5497076023391813,171,94,77,34523.967809940674,290926.7696170203,-278487.2447857151,1.0446682031734593
40,0.05,15399121.099249715,0.5399121099249715,0.07080547078312538,-0.6419641283750022,1.1400981797828929,0.5046728971962616,321,162,159,16819.69189797419,271217.56562808546,-242378.1417138373,1.118985250527654
80,0.1,14851789.30574978,0.48517893057497785,0.06468232186874112,-0.4852113762043267,1.165760714881798,0.5433070866141733,254,138,116,19101.532699802283,247258.17038586867,-252326.19144396632,0.9799148038136853
120,0.2,14331341.80399994,0.43313418039999396,0.058681184367749495,-0.3384768004446944,1.3902411301131565,0.5263157894736842,76,40,36,56991.339526315,385762.1006499991,-308309.5061666673,1.2512170171018409
100,0.2,14247642.20624995,0.4247642206249951,0.057699005064302034,-0.3384768004446944,1.4622061117009248,0.55,60,33,27,70794.0367708325,407199.18360605964,-340367.8093611118,1.1963504550280293
40,0.1,14181703.219749883,0.4181703219749884,0.05692181370241811,-0.573857236960277,1.209981061064342,0.5419847328244275,131,71,60,31921.39862404491,339385.51700352004,-331911.14145833417,1.0225192065332467
100,0.1,13713839.684749722,0.37138396847497224,0.05131826122305716,-0.5420440326362932,1.105491302113821,0.5235109717868338,319,167,152,11642.130673196622,233047.98831287338,-231612.9892335534,1.0061956761754538
10,0.05,13624782.409249859,0.3624782409249858,0.050233451281272545,-0.5142649146336199,1.1470949625906166,0.5106382978723404,141,72,69,25707.67666134652,392600.6529791656,-357137.16819203005,1.0992993391493409
30,0.15,13367321.32399995,0.336732132399995,0.047063395526252716,-0.5420440326362932,1.311529146516113,0.5869565217391305,46,27,19,73202.6374782598,525049.2683518506,-568895.2063947377,0.9229279179187461
30,0.1,12780690.87174991,0.2780690871749909,0.03964384166328694,-0.5639541295750018,1.1552692991846396,0.5247524752475248,101,53,48,27531.592789603066,390368.2440188669,-373100.54294270923,1.0462816294502397
20,0.05,12599421.469249776,0.25994214692497764,0.03729323049298228,-0.6264459695018928,1.0795677455829888,0.5172413793103449,232,120,112,11204.402884697309,293905.8989729156,-291690.0572098224,1.0075965625441228
100,0.25,12404157.736749977,0.24041577367499767,0.03472909047277395,-0.3384768004446944,1.3982382560850102,0.625,24,15,9,100173.23903124903,562742.7416999988,-670775.932083334,0.8389429536510061
100,0.15,12207797.725499881,0.22077977254998804,0.03211606798066624,-0.4527203784250006,1.1100335915883746,0.5140845070422535,142,73,69,15547.871306337192,305103.5452191772,-290793.63877536304,1.0492098331451758
20,0.1,12107636.050499937,0.2107636050499937,0.030769536869904357,-0.4978659529239506,1.1442127499436823,0.5507246376811594,69,38,31,30545.450007245458,440063.2950394727,-471444.1664838718,0.9334367170593197
80,0.2,12030894.000499964,0.20308940004999632,0.029731491982637026,-0.4527203784250006,1.2154189686060437,0.5909090909090909,44,26,18,46156.68182954463,440713.1167211529,-523758.1685694451,0.8414439013426457
80,0.3,11903410.930249983,0.19034109302499824,0.02799472088460564,-0.2554549283346194,1.4509461978099412,0.6,15,9,6,126894.06201666556,680481.9795277765,-703487.8142500008,0.9672974652066274
100,0.3,11903410.930249983,0.19034109302499824,0.02799472088460564,-0.2554549283346194,1.4509461978099412,0.6,15,9,6,126894.06201666556,680481.9795277765,-703487.8142500008,0.9672974652066274
